"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1539",546318,"Odubel Herrera","1539","100.0","0.278","0.183","0.320","0.460","0.339","0.302","0.240","102","367","80.3","18.0","2205","89.0","88.56","214","791","730","-0.4","6.03","111","148","104","150","287","318","298"
"1205",570799,"Christian Villanueva","1205","100.0","0.229","0.247","0.259","0.476","0.323","0.302","0.215","63","275","81.6","24.3","2249","88.3","87.59","210","671","529","-0.7","5.91","107","152","115","146","301","321","298"
"1349",500743,"Miguel Rojas","1349","100.0","0.254","0.094","0.276","0.348","0.288","0.301","0.266","81","319","80.3","13.2","2244","88.3","87.61","95","632","703","-0.7","5.99","107","149","107","146","300","314","282"
"1357",606299,"Jose Peraza","1357","100.0","0.293","0.097","0.319","0.390","0.316","0.301","0.268","109","372","79.2","17.6","2239","88.4","87.87","94","654","681","-0.5","5.95","106","148","100","145","297","308","277"
"1120",543510,"James McCann","1120","100.0","0.225","0.105","0.271","0.330","0.265","0.301","0.238","60","267","82.9","18.7","2236","88.2","87.61","130","525","590","-0.6","5.97","109","152","114","146","298","320","289"
"1459",517369,"Jose Pirela","1459","100.0","0.260","0.094","0.315","0.354","0.291","0.300","0.259","89","342","85.2","12.4","2245","88.8","88.27","153","657","799","-0.5","5.96","108","151","110","147","302","319","293"
"989",596059,"Rougned Odor","989","100.0","0.246","0.136","0.321","0.381","0.309","0.299","0.216","58","236","81.9","16.9","2251","87.7","87.07","114","453","520","-0.6","5.93","111","151","108","151","293","323","300"
"1204",592444,"JaCoby Jones","1204","100.0","0.212","0.158","0.283","0.370","0.277","0.299","0.229","63","297","82.7","17.6","2221","88.2","87.69","187","623","567","-0.5","5.97","106","150","106","145","298","319","287"
"1204",621446,"Lewis Brinson","1204","100.0","0.186","0.152","0.234","0.338","0.244","0.298","0.221","54","290","83.0","12.5","2246","88.5","87.79","226","650","545","-0.7","5.94","107","150","109","145","302","321","292"
"868",501303,"Ehire Adrianza","868","100.0","0.262","0.144","0.333","0.405","0.311","0.297","0.239","51","195","80.9","19.3","2204","88.6","88.18","79","406","454","-0.4","6.01","108","147","103","147","286","312","290"
"1370",664068,"Scott Kingery","1370","100.0","0.240","0.100","0.308","0.340","0.272","0.297","0.242","77","321","81.6","19.8","2230","88.5","88.08","197","694","662","-0.4","6.04","106","151","107","146","298","313","286"
"924",553988,"Dixon Machado","924","100.0","0.206","0.084","0.249","0.290","0.244","0.297","0.248","44","214","81.8","12.7","2238","88.3","87.79","80","413","505","-0.5","6.01","105","150","106","144","294","314","282"
"786",588751,"Adeiny Hechavarria","786","100.0","0.264","0.077","0.297","0.341","0.276","0.296","0.262","55","208","80.6","18.2","2272","88.7","88.17","86","438","343","-0.5","6.02","103","148","107","146","295","314","281"
"1115",460576,"Carlos Gomez","1115","100.0","0.218","0.142","0.275","0.360","0.293","0.296","0.215","60","275","79.7","23.4","2244","88.2","87.51","179","636","462","-0.7","5.94","106","151","112","147","298","321","291"
"1205",622534,"Manuel Margot","1205","100.0","0.245","0.121","0.289","0.365","0.294","0.295","0.239","69","282","83.6","12.3","2245","88.7","88.01","119","523","671","-0.7","5.92","105","150","103","146","301","317","291"
"1359",641313,"Tim Anderson","1359","100.0","0.243","0.166","0.292","0.409","0.305","0.294","0.227","82","337","80.3","14.6","2254","88.0","87.60","204","730","624","-0.4","6.05","106","149","105","144","294","313","284"
"1095",621563,"Joey Wendle","1095","100.0","0.282","0.114","0.353","0.396","0.313","0.293","0.251","77","273","84.7","14.3","2198","88.3","87.48","125","522","566","-0.8","5.90","111","147","106","149","282","316","297"
"1536",520471,"Freddy Galvis","1536","100.0","0.234","0.097","0.295","0.331","0.274","0.292","0.231","84","359","83.4","17.5","2212","88.9","88.30","201","769","761","-0.6","5.97","109","148","101","149","289","314","296"
"804",541650,"Hernan Perez","804","100.0","0.248","0.136","0.292","0.383","0.287","0.290","0.234","51","206","82.1","15.0","2245","88.8","88.29","86","398","403","-0.5","5.96","106","149","108","146","302","317","290"
"811",543877,"Christian Vazquez","811","100.0","0.213","0.087","0.240","0.300","0.242","0.290","0.254","44","207","83.4","15.6","2226","88.7","88.15","54","403","402","-0.6","5.97","108","150","116","147","289","312","285"
"1039",543939,"Kolten Wong","1039","100.0","0.222","0.146","0.241","0.368","0.298","0.290","0.216","53","239","80.2","10.9","2165","89.0","88.67","83","441","576","-0.3","6.08","111","147","101","150","292","316","301"
"1346",621020,"Dansby Swanson","1346","100.0","0.251","0.152","0.319","0.403","0.299","0.288","0.235","76","303","82.8","13.7","2235","88.7","88.27","163","660","683","-0.4","5.99","108","151","109","147","302","316","287"
"1355",448801,"Chris Davis","1355","100.0","0.158","0.125","0.218","0.283","0.227","0.287","0.199","47","297","83.3","18.4","2219","88.3","87.69","211","619","732","-0.6","5.95","117","168","131","153","294","325","303"
"1105",605480,"Mallex Smith","1105","100.0","0.288","0.111","0.365","0.399","0.329","0.287","0.236","78","271","79.6","9.3","2212","88.7","87.95","156","555","535","-0.8","5.92","103","144","93","145","272","308","293"
"1030",608597,"Ronald Guzman","1030","100.0","0.250","0.183","0.331","0.433","0.325","0.286","0.223","56","224","80.7","17.5","2253","88.9","88.34","154","514","512","-0.6","6.01","114","154","119","150","288","320","301"
"928",543281,"Josh Harrison","928","100.0","0.249","0.091","0.280","0.340","0.275","0.284","0.236","60","241","80.6","18.7","2227","88.5","87.96","107","512","410","-0.5","5.96","106","149","103","144","302","315","289"
"1119",642708,"Amed Rosario","1119","100.0","0.242","0.131","0.300","0.374","0.279","0.284","0.242","70","289","82.1","14.5","2246","88.3","87.63","160","588","523","-0.7","5.91","105","150","104","148","301","315","290"
"1035",643396,"Isiah Kiner-Falefa","1035","100.0","0.251","0.098","0.302","0.349","0.296","0.284","0.243","59","235","80.5","11.4","2246","89.2","88.75","56","404","624","-0.5","6.04","105","148","110","144","294","314","282"
"1219",572191,"Michael A. Taylor","1219","100.0","0.239","0.132","0.332","0.371","0.292","0.284","0.220","67","280","81.4","12.0","2242","88.7","88.09","190","615","591","-0.6","5.93","105","149","104","145","302","318","296"
"1487",542255,"Ender Inciarte","1487","100.0","0.238","0.095","0.265","0.333","0.286","0.282","0.234","88","369","79.4","15.8","2203","89.2","88.71","104","735","734","-0.5","5.99","109","146","95","148","281","311","296"
"1232",578428,"Jose Iglesias","1232","100.0","0.265","0.105","0.291","0.370","0.293","0.281","0.252","86","324","81.0","17.0","2238","88.9","88.46","74","609","613","-0.4","6.03","104","148","103","145","293","312","278"
"938",572008,"Chris Owings","938","100.0","0.197","0.090","0.261","0.288","0.238","0.280","0.216","46","233","82.0","16.3","2277","87.9","87.26","119","474","460","-0.6","5.91","107","149","108","146","303","318","292"
"1037",546991,"Albert Almora Jr.","1037","100.0","0.319","0.117","0.372","0.436","0.341","0.280","0.247","90","282","82.4","12.4","2254","88.3","87.76","139","567","467","-0.5","5.89","107","149","106","145","298","314","291"
"1178",542340,"Jonathan Villar","1178","100.0","0.261","0.117","0.355","0.377","0.303","0.278","0.220","67","257","81.9","9.0","2156","88.9","88.43","164","552","617","-0.5","5.99","109","146","100","148","293","316","298"
"1075",455117,"Martin Maldonado","1075","100.0","0.231","0.114","0.295","0.345","0.282","0.278","0.212","59","255","81.0","17.6","2239","88.2","87.70","150","548","516","-0.5","5.96","108","152","114","146","302","318","290"
"868",502481,"Jarrod Dyson","868","100.0","0.189","0.068","0.216","0.257","0.244","0.277","0.222","39","206","77.7","10.3","2232","89.5","88.90","58","344","503","-0.6","5.96","102","144","93","145","282","312","299"
"1158",451594,"Dexter Fowler","1158","100.0","0.177","0.120","0.202","0.297","0.253","0.276","0.204","44","249","81.2","17.5","2166","88.8","88.49","126","499","656","-0.3","6.10","116","151","111","149","300","320","300"
"843",664056,"Harrison Bader","843","100.0","0.280","0.145","0.377","0.425","0.333","0.276","0.219","52","186","82.0","16.0","2239","87.9","87.58","109","383","455","-0.3","6.04","108","151","109","146","305","320","295"
"1279",444876,"Alcides Escobar","1279","100.0","0.203","0.076","0.228","0.279","0.234","0.275","0.231","67","330","79.8","14.1","2238","88.3","87.96","136","671","589","-0.3","6.02","105","150","104","146","295","310","281"
"995",608671,"Travis Jankowski","995","100.0","0.259","0.075","0.319","0.335","0.305","0.275","0.225","55","212","79.4","8.3","2214","89.5","88.87","61","380","603","-0.6","5.97","110","146","95","149","281","309","300"
"1162",472528,"Luis Valbuena","1162","100.0","0.204","0.140","0.276","0.344","0.256","0.275","0.199","51","250","83.9","24.7","2225","88.1","87.45","175","561","597","-0.7","5.89","115","161","119","149","293","321","303"
"1217",594694,"Wilmer Difo","1217","100.0","0.244","0.095","0.294","0.338","0.279","0.275","0.241","67","275","78.9","16.3","2212","88.9","88.37","131","565","645","-0.5","5.97","106","146","100","146","285","310","294"
"1116",456488,"Eduardo Nunez","1116","100.0","0.252","0.105","0.283","0.357","0.276","0.274","0.246","79","314","81.4","18.2","2253","88.3","87.60","110","611","501","-0.7","5.93","106","150","109","145","288","315","291"
"879",595751,"Jorge Alfaro","879","100.0","0.255","0.143","0.405","0.398","0.297","0.273","0.220","59","231","84.0","12.6","2225","88.3","87.88","235","538","336","-0.4","6.02","109","152","115","148","301","317","289"
"1179",570731,"Jonathan Schoop","1179","100.0","0.228","0.167","0.254","0.395","0.280","0.269","0.230","71","311","81.4","13.7","2249","88.5","88.04","176","665","511","-0.5","5.99","108","152","117","146","297","320","289"
"1300",543829,"Dee Gordon","1300","100.0","0.290","0.063","0.334","0.353","0.288","0.263","0.254","106","365","78.1","8.6","2250","88.7","88.04","117","699","578","-0.7","5.87","101","142","90","142","267","302","292"
"1048",641553,"Adam Engel","1048","100.0","0.215","0.084","0.291","0.299","0.252","0.254","0.205","54","251","80.9","19.3","2259","88.7","88.41","167","533","494","-0.3","6.07","104","148","102","143","293","313","285"
"1287",571740,"Billy Hamilton","1287","100.0","0.227","0.087","0.310","0.313","0.278","0.250","0.202","68","300","75.0","20.3","2207","88.5","88.05","151","607","663","-0.5","5.98","99","140","90","142","279","304","284"
"1234",592261,"Delino DeShields","1234","100.0","0.208","0.067","0.271","0.275","0.264","0.246","0.179","56","269","76.7","13.0","2254","89.0","88.58","102","495","715","-0.4","6.02","100","145","98","142","294","311","279"
"749",606115,"Orlando Arcia","749","100.0","0.197","0.054","0.253","0.251","0.214","0.221","0.197","40","203","81.2","6.3","2259","87.9","87.27","113","392","352","-0.6","5.94","107","149","104","145","301","314","287"
