"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"934",459964,"Matt Joyce","934","100.0","0.203","0.156","0.235","0.359","0.295","0.346","0.237","39","192","82.1","19.1","2190","87.6","87.04","114","436","496","-0.6","5.91","116","159","118","152","292","321","300"
"1587",543401,"Jason Kipnis","1587","100.0","0.224","0.145","0.258","0.370","0.300","0.345","0.250","74","330","82.3","21.0","2231","88.7","88.26","140","681","899","-0.4","5.99","116","148","111","148","285","313","296"
"851",435559,"Kurt Suzuki","851","100.0","0.268","0.174","0.271","0.442","0.333","0.345","0.279","60","224","82.6","21.3","2220","89.2","88.82","70","447","397","-0.4","6.03","108","151","114","146","302","318","290"
"1274",621043,"Carlos Correa","1274","100.0","0.268","0.212","0.317","0.480","0.352","0.345","0.250","72","269","84.6","14.2","2250","88.5","87.95","130","535","737","-0.6","6.00","105","149","117","145","299","323","290"
"1081",521692,"Salvador Perez","1081","100.0","0.222","0.174","0.237","0.396","0.280","0.345","0.261","65","293","85.1","19.1","2250","88.3","87.98","155","638","436","-0.3","6.02","107","152","119","147","299","321","300"
"1749",607208,"Trea Turner","1749","100.0","0.267","0.141","0.311","0.408","0.327","0.344","0.269","104","390","83.2","13.9","2240","88.6","88.14","168","786","953","-0.5","5.95","105","150","102","146","300","316","291"
"1454",456715,"Lorenzo Cain","1454","100.0","0.289","0.131","0.339","0.420","0.357","0.344","0.267","88","305","83.8","9.4","2235","89.8","89.34","121","588","863","-0.5","6.02","109","150","112","147","303","317","290"
"1490",500871,"Eduardo Escobar","1490","100.0","0.272","0.237","0.321","0.509","0.350","0.344","0.259","94","346","82.7","22.7","2193","88.7","88.25","208","804","681","-0.4","5.98","111","151","112","149","291","316","293"
"1623",621035,"Chris Taylor","1623","100.0","0.255","0.201","0.336","0.456","0.339","0.343","0.254","90","353","83.1","19.5","2246","88.0","87.41","220","748","866","-0.6","5.88","109","151","108","146","304","317","296"
"1505",624424,"Michael Conforto","1505","100.0","0.220","0.151","0.269","0.371","0.314","0.342","0.236","64","291","82.1","17.0","2192","88.7","88.07","183","649","852","-0.6","5.93","115","154","120","151","295","322","305"
