"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1986",408234,"Miguel Cabrera",2015,"1986","100.0","0.338","0.196","0.384","0.534","0.413","0.440","0.336","145","429","92.0","13.8","2144","89.0","88.42","206","892","1033","-0.6","6.03","107","149","115","146","303","320","297"
"2488",120074,"David Ortiz",2015,"2488","100.0","0.273","0.280","0.264","0.553","0.379","0.424","0.312","144","528","92.2","15.5","2105","88.1","87.70","258","1110","1321","-0.4","6.09","115","169","135","149","289","321","308"
"3021",458015,"Joey Votto",2015,"3021","100.0","0.314","0.228","0.371","0.541","0.427","0.424","0.295","171","545","88.7","13.4","2095","89.0","88.71","265","1104","1848","-0.3","6.17","113","148","117","147","290","312","297"
"1871",518692,"Freddie Freeman",2015,"1871","100.0","0.276","0.195","0.321","0.471","0.364","0.415","0.309","115","416","89.3","15.5","2051","88.1","87.44","227","920","930","-0.7","5.91","112","156","126","148","297","318","304"
"2980",545361,"Mike Trout",2015,"2980","100.0","0.299","0.290","0.344","0.590","0.415","0.414","0.294","172","575","90.9","16.0","2160","89.1","88.20","246","1116","1801","-0.9","5.98","107","151","114","145","306","320","300"
"2683",547180,"Bryce Harper",2015,"2683","100.0","0.330","0.319","0.369","0.649","0.461","0.409","0.286","172","521","89.7","12.9","2117","89.0","88.36","317","1173","1437","-0.6","6.09","113","147","116","150","299","320","302"
"2787",448801,"Chris Davis",2015,"2787","100.0","0.262","0.300","0.319","0.562","0.390","0.402","0.265","150","573","90.0","17.2","2142","88.2","87.79","469","1314","1441","-0.4","5.98","114","165","132","147","298","321","300"
"2917",502671,"Paul Goldschmidt",2015,"2917","100.0","0.321","0.249","0.382","0.570","0.418","0.397","0.280","182","567","91.5","15.1","2145","88.5","88.07","280","1111","1706","-0.4","5.98","109","149","115","145","307","323","301"
"2781",457705,"Andrew McCutchen",2015,"2781","100.0","0.293","0.196","0.340","0.489","0.381","0.394","0.284","166","567","89.6","14.6","2128","89.2","88.58","315","1206","1517","-0.6","6.08","107","149","113","144","304","316","294"
"2819",518626,"Josh Donaldson",2015,"2819","100.0","0.297","0.271","0.314","0.568","0.398","0.389","0.285","184","620","91.4","9.3","2125","89.3","88.64","326","1288","1524","-0.7","6.11","107","151","117","145","299","318","294"
"2743",430832,"Jose Bautista",2015,"2743","100.0","0.250","0.285","0.237","0.536","0.389","0.389","0.264","136","543","91.1","14.5","2143","88.9","88.24","220","1078","1657","-0.7","6.11","107","151","118","145","297","321","297"
"2517",429665,"Edwin Encarnacion",2015,"2517","100.0","0.277","0.280","0.267","0.557","0.392","0.389","0.277","146","528","89.7","14.8","2144","89.4","88.78","251","1086","1402","-0.6","6.12","106","151","118","145","297","321","298"
"2606",502110,"J.D. Martinez",2015,"2606","100.0","0.282","0.253","0.339","0.535","0.372","0.389","0.279","168","596","90.0","16.9","2124","88.5","87.95","423","1372","1203","-0.5","6.05","108","150","116","146","300","318","294"
"2807",572761,"Matt Carpenter",2015,"2807","100.0","0.272","0.233","0.321","0.505","0.372","0.386","0.284","156","574","87.4","17.6","2128","89.0","88.46","235","1083","1687","-0.5","5.92","114","147","102","148","287","309","299"
"2753",519203,"Anthony Rizzo",2015,"2753","100.0","0.278","0.233","0.288","0.511","0.383","0.382","0.277","163","587","87.7","17.1","2089","89.1","88.38","242","1259","1425","-0.7","5.93","114","154","121","148","294","317","302"
"2195",457763,"Buster Posey",2015,"2195","100.0","0.318","0.153","0.320","0.470","0.363","0.379","0.314","177","557","88.0","12.0","2138","88.6","87.99","138","1034","1121","-0.6","5.90","109","148","115","146","301","317","292"
"2442",434778,"Kendrys Morales",2015,"2442","100.0","0.290","0.195","0.319","0.485","0.364","0.377","0.293","165","569","91.4","12.2","2076","87.9","87.01","268","1170","1248","-0.9","5.93","109","155","124","148","296","314","298"
"2632",443558,"Nelson Cruz",2015,"2632","100.0","0.302","0.264","0.350","0.566","0.396","0.377","0.284","178","590","91.5","11.6","2171","88.9","88.09","389","1265","1327","-0.8","6.00","108","150","117","146","298","319","296"
"2485",408236,"Adrian Gonzalez",2015,"2485","100.0","0.275","0.205","0.294","0.480","0.354","0.376","0.294","157","571","87.8","15.8","2110","88.9","88.20","267","1234","1209","-0.7","5.95","114","158","123","149","297","318","305"
"2503",121347,"Alex Rodriguez",2015,"2503","100.0","0.250","0.235","0.278","0.486","0.361","0.373","0.259","131","523","90.2","11.4","2128","88.9","88.26","352","1099","1382","-0.6","6.03","106","150","116","144","297","320","293"
