"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2584",476704,"Jed Lowrie",2017,"2584","100.0","0.277","0.171","0.314","0.448","0.347","0.374","0.294","157","567","82.0","21.5","2203","89.0","88.60","233","1242","1337","-0.4","6.02","113","151","111","148","288","317","295"
"2627",571448,"Nolan Arenado",2017,"2627","100.0","0.309","0.277","0.320","0.586","0.395","0.373","0.281","187","606","83.6","20.9","2238","88.8","88.41","295","1266","1356","-0.4","5.98","107","151","115","146","309","328","305"
"2356",489149,"Logan Morrison",2017,"2356","100.0","0.246","0.270","0.268","0.516","0.363","0.371","0.253","126","512","81.7","18.7","2260","88.4","87.83","312","1084","1267","-0.6","6.03","115","167","130","151","297","328","302"
"2560",547989,"Jose Abreu",2017,"2560","100.0","0.304","0.248","0.330","0.552","0.377","0.370","0.292","189","621","85.8","16.0","2281","88.5","88.21","278","1234","1311","-0.3","6.07","107","150","116","146","302","324","295"
"2174",502517,"Daniel Murphy",2017,"2174","100.0","0.322","0.221","0.341","0.543","0.385","0.370","0.306","172","534","85.2","20.2","2182","88.7","88.39","140","1024","1145","-0.3","6.12","114","151","117","150","293","318","300"
"2315",429664,"Robinson Cano",2017,"2315","100.0","0.280","0.172","0.294","0.453","0.334","0.369","0.304","166","592","85.0","13.8","2231","88.6","88.18","214","1204","1107","-0.4","6.04","112","149","120","150","292","321","301"
"2648",467793,"Carlos Santana",2017,"2648","100.0","0.259","0.196","0.274","0.455","0.350","0.368","0.270","148","571","84.3","16.6","2161","87.9","87.48","204","1059","1583","-0.4","6.04","112","158","120","147","296","322","300"
"2548",592518,"Manny Machado",2017,"2548","100.0","0.259","0.213","0.265","0.471","0.328","0.368","0.282","163","630","84.9","18.4","2247","88.5","87.76","273","1245","1298","-0.7","5.92","109","151","116","145","303","325","295"
"2332",434778,"Kendrys Morales",2017,"2332","100.0","0.250","0.196","0.278","0.445","0.320","0.367","0.281","139","557","85.4","15.4","2187","87.6","87.02","335","1156","1171","-0.6","5.97","113","163","131","149","297","328","303"
"2560",542303,"Marcell Ozuna",2017,"2560","100.0","0.312","0.237","0.355","0.548","0.388","0.366","0.278","191","613","82.9","13.1","2213","88.6","88.01","341","1269","1290","-0.6","6.03","107","151","116","146","305","322","298"
"2432",457803,"Jay Bruce",2017,"2432","100.0","0.254","0.254","0.274","0.508","0.350","0.366","0.267","141","555","82.4","19.2","2190","87.7","87.22","334","1210","1220","-0.5","6.04","115","161","129","150","297","321","304"
"2491",570267,"Domingo Santana",2017,"2491","100.0","0.278","0.227","0.363","0.505","0.372","0.362","0.269","146","525","82.4","12.5","2208","89.0","88.51","371","1153","1331","-0.5","6.00","110","151","113","147","303","315","292"
"2493",453943,"Todd Frazier",2017,"2493","100.0","0.213","0.215","0.226","0.428","0.335","0.361","0.235","101","474","81.6","23.1","2262","89.1","88.63","259","1004","1473","-0.5","6.05","106","151","116","145","300","324","292"
"2576",608070,"Jose Ramirez",2017,"2576","100.0","0.318","0.265","0.319","0.583","0.397","0.360","0.297","186","585","83.2","18.4","2185","88.1","87.68","152","1116","1457","-0.4","6.02","111","147","107","146","290","315","295"
"2205",641355,"Cody Bellinger",2017,"2205","100.0","0.267","0.315","0.299","0.581","0.380","0.360","0.246","128","480","84.2","21.3","2209","89.3","88.68","318","978","1219","-0.6","5.89","115","154","122","149","300","321","304"
"2621",457705,"Andrew McCutchen",2017,"2621","100.0","0.279","0.207","0.305","0.486","0.360","0.360","0.274","159","570","83.5","17.5","2189","89.1","88.71","249","1175","1439","-0.4","6.06","108","151","113","145","303","318","293"
"2695",457708,"Justin Upton",2017,"2695","100.0","0.273","0.268","0.341","0.540","0.378","0.360","0.249","152","557","82.3","20.9","2258","88.6","88.23","365","1196","1496","-0.4","6.07","107","151","116","146","302","325","296"
